MPgRS, Bhimpalasi or Jaunpuri
MPgRM, Barawa or Jaunpuri
MPgMR, Adana or Bahaar or Darbari Kanada or Nayaki Kanada or Ramadasimalhar or Shahanakanada
MPgMP, Bhairavi or Shahanakanada
MPgMD, Shahanakanada
MPgMr, Bhairavi
MPgMd, Bhairavi
MPmPG, Bihag
MPmPM, Chhayanat
MPmPP, Chhayanat
MPmPD, Chhayanat
MPmPm, Chhayanat
MPmDP, Chhayanat
MPdSN, Jogiya
MPdSr, Gunakali or Jogiya
MPdSd, Gunakali
MPdMP, Jaunpuri
MPdNS, Bhairav or Kalingada or Kirvani or Nat Bhairav
MPdNd, Bhairav or Kalingada or Kirvani or Nat Bhairav
MPdnS, Adana or Charukeshi or Darbari Kanada or Jaunpuri
MPdnP, Adana or Darbari Kanada
MPdnd, Charukeshi or Darbari Kanada or Jaunpuri
MPnSR, Madmaad Sarang or Nayaki Kanada
MPnSG, Jog
MPnSr, Bairagi
MPnSg, Bhimpalasi or Dhani
MPnSn, Bairagi or Bhimpalasi or Dhani or Jog or Madmaad Sarang or Nayaki Kanada
MPnDP, Gaud Malhar
MPnDN, Bahaar or Gaud Malhar or Ramadasimalhar
MDMRM, Gorakh Kalyan
MDMGS, Bhinna Shadja
MDMGR, Rageshri
MDMPD, Bageshree
MDMgS, Bageshrikauns
MDMgR, Abhogi or Bageshree
MDMgr, Parameshwari
MDPMR, Nand
MDPMG, Nand
MDPMP, Nand
MDPMD, Nand
MDNSG, Bhinna Shadja
MDNSN, Bhinna Shadja
MDNPS, Nand
MDnSR, Gorakh Kalyan or Shahanakanada
MDnSG, Rageshri
MDnSr, Parameshwari
MDnSg, Bageshree or Bageshrikauns
MDnSn, Bageshree or Bageshrikauns or Gorakh Kalyan or Parameshwari or Rageshri or Shahanakanada
MNDPm, Hameer
MNDNS, Hameer
MNDND, Hameer
MrMPd, Gunakali
MrMPn, Bairagi
MgRSR, Abhogi or Barawa or Kafi or Kirvani
MgRSD, Abhogi
MgRSN, Kirvani or Patadeep
MgRSg, Bageshree or Patadeep
MgRSn, Bageshree or Barawa or Kafi
MgRMG, Barawa
MgRMP, Barawa
MgMRS, Darbari Kanada
MgMPN, Patadeep
MgMPg, Darbari Kanada
MgMPd, Darbari Kanada or Kirvani
MgMPn, Dhani
MgMDS, Abhogi
MgMDn, Bageshree or Bageshrikauns or Parameshwari
MgMdN, Chandrakauns
MgMdn, Malkauns
MgPdS, Bilaskhani Todi
MgrSr, Bilaskhani Todi or Parameshwari
MgrSn, Parameshwari
MdMgS, Chandrakauns or Malkauns
MdPGM, Ramakali
MdPMG, Jogkauns
MdPMP, Bhairavi
MdPmP, Ramakali
MdNSG, Jogkauns or Ramakali
MdNSN, Chandrakauns or Jogkauns or Lalat or Ramakali
MdNSg, Chandrakauns
Mdmdm, Lalat
MdnSR, Bhairavi
MdnSg, Bhairavi or Malkauns
MdnSn, Bhairavi or Malkauns
MdndP, Jogkauns or Ramakali
PSGMP, Nand
PSNDP, Nand
PRGRS, Shankara
PRGRG, Shankara
PGRSR, Bhoopali or Deshkar or Hansadhwani or Janasammohini
PGRSD, Bhoopali or Deshkar
PGRSN, Hansadhwani
PGRSn, Janasammohini
PGMRS, Hameer or Kamod or Shyam Kalyan
PGMRm, Kamod or Shyam Kalyan
PGMGR, Bihag or Bihagda or Tilanga
PGMGM, Bihag or Bihagda or Ramakali or Tilanga
PGMGr, Ramakali
PGMPN, Bihag or Bihagda or Tilanga
PGMND, Hameer
PGMdN, Ramakali
PGPRS, Shankara
PGPRG, Shankara
PGPGr, Bhatiyar
PGPDS, Bhoopali or Deshkar or Jait
PGPDP, Gaud Malhar
PGPDN, Gaud Malhar
PGPDn, Janasammohini or Kalavati
PGPNS, Hansadhwani
PGPND, Shankara
PGPdS, Bibhas
PGrSD, Jait
PGrSr, Bhatiyar or Bibhas or Jait
PGrSd, Bibhas
PMRSR, Vrindavani Sarang or Durga or Gorakh Kalyan or Madmaad Sarang or Shuddha Sarang or Soora Malhar
PMRSG, Nand
PMRSM, Kedar
PMRSD, Durga
PMRSN, Kedar or Nand or Shuddha Sarang
PMRSn, Vrindavani Sarang or Gorakh Kalyan or Madmaad Sarang or Soora Malhar
PMRMP, Gorakh Kalyan
PMRMD, Gorakh Kalyan
PMRPM, Gaud Malhar
PMGRS, Bilawal or Charukeshi or Chhayanat or Gaud Malhar or Jaijaivanti or Khamaj or Mand or Nat Bhairav
PMGRG, Bilawal or Charukeshi or Chhayanat or Jaijaivanti
PMGRP, Gaud Malhar
PMGRg, Jaijaivanti
PMGMR, Nand
PMGMG, Ahir Bhairav or Bhairav or Nand or Nat Bhairav
PMGMP, Ahir Bhairav or Bhairav or Nand or Nat Bhairav
PMGMD, Nand
PMGPG, Bhatiyar
PMGPM, Barawa or Bhatiyar
PMGPm, Kedar
PMGrS, Ahir Bhairav or Bhairav or Jogiya or Kalingada
PMGrG, Kalingada
PMGrM, Jogiya
PMMrS, Bairagi
PMMrM, Bairagi
PMPMR, Gorakh Kalyan
PMPDS, Durga
PMPDN, Mand or Nand
PMPDn, Ahir Bhairav or Barawa or Kafi or Khamaj or Soora Malhar
PMPNS, Vrindavani Sarang or Jaijaivanti or Patadeep or Soora Malhar
PMPgR, Bhimpalasi
PMPgM, Bhairavi or Bhimpalasi
PMPgr, Bhairavi
PMPmP, Chhayanat
PMPdS, Gunakali or Jogiya
PMPdN, Bhairav or Kalingada or Kirvani or Nat Bhairav
PMPdn, Charukeshi
PMPnS, Bairagi or Bhimpalasi or Dhani or Jog or Madmaad Sarang
PMPnP, Gaud Malhar
PMPnD, Gaud Malhar
PMDPM, Nand
PMDnS, Gorakh Kalyan
PMrSr, Gunakali
PMrSd, Gunakali
PMgSg, Dhani
PMgSn, Dhani
PMgRS, Barawa or Kafi or Kirvani or Patadeep
PMgRM, Barawa or Kafi
PMgRg, Kirvani
PMdNS, Jogkauns
PMdnS, Bhairavi
PPMGR, Chhayanat
PPPmD, Chhayanat
PPDNS, Chhayanat
PPmPM, Chhayanat
PPmPD, Chhayanat
PPmDP, Chhayanat
PPmDN, Chhayanat
PPmDn, Chhayanat
PDMRS, Sorath
PDMRM, Sorath
PDMGS, Des or Tilakakamod or Jinjhoti
PDMGR, Des
PDMPD, Bageshree or Des
PDMPN, Des or Soora Malhar
PDMgR, Bageshree
PDMgM, Bageshree
PDPGS, Kalavati
PDPGR, Bhoopali or Deshkar or Janasammohini
PDPGM, Bihagda or Kamod
PDPGr, Jait
PDPMR, Durga or Gaud Malhar or Kedar or Nand or Soora Malhar
